Country,count,mean,std,min,25%,50%,75%,max
Australia,200.0,182187.27419068606,209639.16518141437,119.451096104772,1678.1182862121525,59240.9626038746,410992.1216403848,537889.892623617
Austria,221.0,28140.83460954945,36416.267982866666,0.75852,367.006656851244,4174.31268013581,74066.2557920763,92810.4871969534
Belarus,145.0,47145.08405431922,38903.718100123646,0.00171,12507.96678271,53843.704423847,83688.299567336,133457.162012087
Belgium,205.0,51824.4630820934,63565.1934846839,0.5676,1211.52843588766,9318.58072048247,124426.885709848,157656.68711628
Bulgaria,156.0,21622.0490864847,27377.321258771226,0.003135561,26.470963313313973,5498.39284711487,50026.142698267955,103450.784150903
Canada,223.0,237691.25386420268,302478.6882354481,0.151044896,2522.69167627152,40863.4283663269,573789.5226063761,769691.185364662
Croatia,178.0,10979.664146628964,11580.297204741895,0.016777,491.66132445000005,3048.0963157733204,22978.64568002185,31204.6312635073
Cyprus,175.0,3532.1542142249646,3816.1938313987353,0.0257666904,208.575099017305,894.0424515,7473.09509160237,10093.2699679916
Czech Republic,193.0,58330.175162673026,68048.28257778545,0.00883,121.159343941416,13800.5707318147,133778.906336159,198621.240805831
Denmark,194.0,27347.102026850494,31520.71537254934,0.066225,170.13935676199048,7708.824466873841,60902.49386204592,91956.1004876897
Estonia,175.0,9042.185919429106,10503.048322473845,0.0481878,163.948669625589,1246.81186955066,18685.97972927385,39965.168718297
European Union,250.0,1531487.8764288335,2159330.5506703327,23.775889730364,6328.320568069303,174422.08795815049,4206869.737613448,5664845.83754834
Finland,200.0,27119.721266121822,32321.06436036432,0.024024986,36.658495489404,5786.931376934575,63880.744221175475,85219.2986612438
France,225.0,180049.54852329043,227747.91625265728,10.6296,2485.68185367263,53345.2948532905,417864.70558616,577151.660719953
Germany,250.0,312367.2678454088,451111.9423926617,5.289716724,2079.73846348005,23851.43840530135,898205.372108967,1249828.64870129
Greece,200.0,44703.957312610604,53006.79629121088,2.928888,909.6016841999999,9244.38936703006,104838.7500214345,135924.226108271
Hungary,198.0,27850.240821012932,32605.76711306158,1.52109411054007,267.490622619993,7719.833320905755,61723.41495072318,94133.9719251175
Iceland,197.0,1538.5653407189275,1717.0773541229155,1.096395,88.1645538991686,521.754007975608,3341.98723972385,5140.33616340343
Ireland,216.0,22056.18632281965,26126.76142308727,0.11977,94.769971743768,8315.117068117786,47233.14688132125,71393.9183948119
Italy,217.0,182413.16345494826,233930.663219248,4.644,1265.45850136669,28823.5939746128,465175.073350703,580725.580159886
Japan,225.0,451633.1707959218,616243.7939435728,32.888772785924,9216.6404835836,28999.2067585032,1270742.94816386,1412795.07423849
Latvia,165.0,6065.848190234432,6197.884570791885,0.173347488,1420.33019050757,2211.11421616148,11217.4663550048,26397.4022352212
Liechtenstein,165.0,73.85859172266156,101.8122483477959,0.00010441014408,0.255132,10.7341219517833,204.05592043076,269.235959275465
Lithuania,169.0,10896.21940919325,11292.552350591895,0.0278729208,405.146292558062,4970.26928000649,20755.1347198455,50233.7705660942
Luxembourg,150.0,3833.000463738609,5188.901609757663,7.15e-05,36.22072557100765,434.486313386053,10007.66855663691,13396.876182352
Malta,179.0,1156.9036445306788,1308.6303356208373,1.10375e-06,51.30227974988365,144.495203602493,2527.101458435305,3324.49701604246
Monaco,177.0,41.08254467107348,47.464728641950806,0.0198675,1.26807228418025,4.41808469499282,97.855057066224,109.692366710798
Netherlands,200.0,81631.18511020264,95645.71708343948,93.2102710356553,2187.3344205185,18541.15527447895,183641.54444440175,243054.332894743
New Zealand,198.0,28890.24374543999,30697.13427926572,0.0429,163.551929268625,25763.9180865823,58789.798302342,83696.7494402892
Norway,200.0,20169.32524372538,23402.778409877188,0.043896921,894.846669277794,4771.358224355115,46326.7639376636,56966.3456187061
Poland,191.0,163111.41691170188,185724.16679385735,13.265454545496,301.16727235528,42979.9466687696,379841.740015248,472995.97389518
Portugal,183.0,30622.772697015924,33166.341995602445,0.09498017527939,548.96739188573,11863.022133925,65999.30676166946,88584.4251282468
Romania,200.0,58613.14204434512,68323.30047777477,0.18119293223939,277.63737100295026,22299.077811919902,122666.95430426,254999.122937748
Russian Federation,200.0,975406.8978854712,1107231.1199197024,97.163852240076,14235.1043210026,398844.0036267105,2237551.8658930147,3767555.04426468
Slovakia,196.0,19824.653351618865,23462.219705151878,0.035112,56.915773012885495,4612.20751927949,44994.2511193797,74271.5106844523
Slovenia,195.0,7401.16444033705,8597.166798200456,5.23651163466941,128.27312729942702,2127.71067150079,17291.9541601572,21523.5484179448
Spain,175.0,101039.41253288524,144033.52441320548,57.9111850911082,1026.030141935565,17598.5315520104,252928.1331496525,433400.56139937
Sweden,200.0,25393.44242086523,29977.62374023986,4.6023464916,331.6258567858732,5835.47026400686,57622.677987935276,77574.1002048805
Switzerland,207.0,19194.73778488835,23469.338418005733,0.02478119072,162.05567160805202,2748.11853051467,45876.3959988386,55639.7237950684
Turkey,174.0,137079.50932515084,149566.24727814706,115.656211508405,2347.0464249777624,44740.3834614036,271004.0920649535,467550.376938556
Ukraine,189.0,200441.23458066306,232698.3804075735,0.007631799084,154.711684649171,87087.7692567806,401929.093345106,937954.203768127
United Kingdom,200.0,174001.43232931712,265368.10090547014,0.256004401476,604.474226668801,21018.240246810798,212339.99805437675,809506.79074742
United States of America,250.0,2084439.3232640554,2942048.6351666027,47.921575666064,8330.549346888047,276675.500878198,5674095.4326248225,7422207.96295139
